Employee #,Filled Position Description,Filled FTE Percent,Current Salary
1020,PED-BICYCLE COORD,1," 	73,049 "
3345,MAINT PAINTER,1," 	62,726 "
7536,ENGINEER 1-18,1," 	60,085 "
5785,COMMUNIC OPER SUPV,1," 	71,300 "
VACANT,VACANT,VACANT,VACANT
6348,CIVIL TECH 2-16,1," 	57,023 "
8034,ENGINEER 1-18,1," 	60,085 "
1710,PROGRAM ASST 1,1," 	55,567 "
VACANT,VACANT,VACANT,VACANT
2611,COMMUNICATION WKR,1," 	60,511 "
2187,TRAFF SIG MAINT WKR,1," 	55,649 "
2235,TRAFF SIG MAINT WKR,1," 	57,270 "
3187,TRAFF SIG ELECTR 2,1," 	72,751 "
9555,TRAFF CONT MAINT WKR,1," 	48,449 "
3569,TRAFF ENGR 4,1," 	108,774 "
9312,SIGN PAINTER,1," 	52,531 "
2047,MAINT PAINTER,1," 	58,734 "
1570,TRAFF CONT MAINT WKR,1," 	55,683 "
3289,TRAFF CONT MAINT WKR,1," 	51,169 "
8023,PKG TECH AIDE,1," 	48,449 "
2428,PKG SERVICE WKR,1," 	55,784 "
2122,PKG EQUIP MECH,1," 	57,784 "
2367,PKG CASHIER,1," 	46,960 "
1595,PKG CASHIER,0.8," 	37,233 "
3820,ADMIN CLK 2,1," 	57,097 "
9396,PKG ANALYST,1," 	65,222 "
